FID,Shape *,OBJECTID,GIS_Featur,Status,MATERIAL,MATERIAL_CD,Mat_Fact,TARGET_Mat_Fact,Age,Remaining_Life,RSL,TARGET_Remaining_Life,TARGET_RSL,RSL_SCR,TARGET_RSL_SCR,RSL_Level,TARGET_RSL_Level,MaterialCl,INSTALL_DA,FRM_NODE,TO_NODE,DIAMETER,LEN_M,Operation_Cost,Maintenance_Cost,REPLC_COST,MI,MI_SCR,INST_YR,TotBrks,TotBrks_Lenght,BRK_SCR,BRK_SCR_TARGET,TotBrks_Level,BRKS_FVYRS,BRKS_FVYRS-Lenght,BRKS_FVYRS_SCR,BRKS_FVYRS_SCR_TARGET,BRKS_FVYRS_Level,Condition_Score,TARGET_Condition_Score,Condition_Score_Level,TARGET_Condition_Score_Level,Condition_level,TARGET_Condition_level,StreetNumb,StreetName,StreetFrom,StreetTo,Owner,Constructe,Condition,JointType,CFactor,CFactorDat,Corrosio_1,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,Flushed,FlushDate,EasementLo,Memo,PipeLocati,ImportantC,AssumeDate,GIS_ID,Constructe,Corrosio_1,TEXTLABEL,TOBEREPLAC,HANSEN_COM,TRANS,TotBrks,SOIL,WaterBodie,Under Bridger,RoadWay,Forest_Gre,River_cree,LandFill,WL,HWY,RWY,TracerWire,Rehabilita,Rehabili_1,Rehabili_2,AnodeType,FlushDate,Easement,EasementLo,DeadEnd,RoadClass,ReportNumb,DrawingNum,HydrantCon,Maintenanc,MeterRoute,HighLevelA,MapGrid,CriticalCr,PipeLocati,ImportantC,CorrosionP,Medical_Services,STANDARD_CONFOR,f,R,HL,HEAD_LOSS_,,BreakDate1,BreakYear1,BreakDate2,,BreakYear2,BreakDate3,BreakYear3,,BreakDate4,BreakYear4,,BreakDate5,BreakYear5,,BreakDate6,BreakYear6,,BreakDate7,BreakYear7,,BreakDate8,BreakYear8,,BreakDate9,BreakYear9,,BreakDat_10,BreakYear10,,BreakDat-2,,BreakDat-3,,BreakDat-4,,BreakDat-5,,BreakDat-6,BreakDat-7,BreakDat-8,BreakDat-9,,BreakDa-10,,BreakDa-11,BreakDa-12,,BreakDa-13,BreakDa-14,BreakDa-15,BreakDa-16,BreakDa-17,,CauseOfBre,CauseOfB_1,CauseOfB_2,CauseOfB_3,CauseOfB_4,CauseOfB_5,CauseOfB_6,CauseOfB_7,CauseOfB_8,CauseOfB_9,CauseOf_10,CauseOf_11,CauseOf_12,CauseOf_13,CauseOf_14,CauseOf_15,CauseOf_16,CauseOf_17,CauseOf_18,CauseOf_19,CauseOf_20,CauseOf_21,CauseOf_22,CauseOf_23,CauseOf_24,CauseOf_25,Performanc_SCR,TARGET_Performanc_SCR,Performance_Score_Level,TARGET_Performance_Score_Level,Performance_Level,TARGET_Performance_Level,DIA_SCR,TARGET_DIA_SCR,ENVMT_SCR,TARGET_ENVMT_SCR,ACCESS_SCR,TARGET_ACCESS_SCR,Criticality_SCR,TARGET_Criticality_SCR,Criticality_Score_Level,TARGET_Criticality_Score_Level,Criticality_Level,TARGET_Criticality_Level,PAN,TARGET_PAN,MITIGATION_Score_Level,TARGET_MITIGATION_Score_Level,MITIGATION_Level_PAN,TARGET_MITIGATION_Level_PAN,AssetName,Components,EOCCategor,EOCRecepti,EMSCategor,EMSTier1Cl,EMSTier2Cl,EMSHierarc,Rotation,NEW_DEVELO,Development,GIS_ID_12,FILE_NO,Planner,Status_1,CONDO_PLAN,CPLANYEAR
978,Polyline,3060,L4706,ACTIVE,CI,CI,0.3,0.25,52,43.6,43.6,41,41,5,5,Medium,Medium,PIT RUN,1965_01_01,N9998,N11425,150,77.30439,77.30439,57.9782925,115956.585,5.086666667,15,1965,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3, ,CHIDDINGTON AVE,CHIDDINGTON PL,CHIDDINGTON PL,CITY,OPEN TRENCH,SATI,PUSH,120,2012-07-18,3000-01-01,1,2012-07-18,AQUA PIPE CIPP,N/A,0,3000-01-01, , ,1,1,<Null>,7528073,OPEN TRENCH,3000-01-01,150 CI, ,L4706,0,1,Clay,0,0,1,0,0,0,0,0,0,0,1,2012-07-18,AQUA PIPE CIPP,N/A,3000-01-01,0, ,0,2,2012-079,0,0,6F, , ,81-55,Unknown,1,1,0,0,15,0.04681637,3.94594E-12,3.55134386,15,,2011-02-12,2011,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,IMPROPER BEDDING, , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,550,543.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
979,Polyline,3061,L5116,ACTIVE,DI,DI,0.5,0.26,38,61,61,51.88,51.88,0,0,Very Low,Very Low,CL 52,1979_01_01,N982,N9833,150,2.81,2.81,2.1075,4215,7.116666667,15,1979,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,ROBERTS AVE,CABELL ST,CABELL ST,CITY, ,NREP,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,8137507, ,3000-01-01,150 DI, ,L5116,0,0,Sand,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,0, , , ,82-59, ,1,1,0,0,15,0.04681637,1.43434E-13,0.12909068,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,360,393.6,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
980,Polyline,3062,L10922,ACTIVE,CI,CI,0.3,0.25,49,45.7,45.7,43.25,43.25,5,5,Medium,Medium,SPUN CAST,1968_01_01,N5603,N5601,150,83.81,83.81,62.8575,125715,5.331666667,15,1968,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3, ,ROLAND CRES,ROLAND LANE,STONEYBROOK CRES,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,17358694, ,3000-01-01,150 CI, ,L10922,0,0,Silt,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,0,0, , , ,78-64, ,1,1,0,0,15,0.04681637,4.27801E-12,3.850209915,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,550,543.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
981,Polyline,3063,L3174,ACTIVE,CI,CI,0.3,0.25,56,40.8,40.8,38,38,5,5,Medium,Medium,SPUN CAST,1961_01_01,N11407,N11427,150,80.074029,80.074029,60.05552175,120111.0435,4.76,5,1961,0,0,0,6,,0,0,0,6,,80,195.8,Very Low,Medium,1,3, ,CHIDDINGTON AVE,TORRINGTON CRES,ROCKINGHAM CRT,CITY,OPEN TRENCH,SATI,PUSH,120,2012-07-18,3000-01-01,1,2012-07-18,AQUA PIPE CIPP,N/A,0,3000-01-01, , ,1,1,<Null>,4915846,OPEN TRENCH,3000-01-01,150 CI, ,L3174,0,1,Clay,0,0,1,0,0,0,0,0,0,0,1,2012-07-18,AQUA PIPE CIPP,N/A,3000-01-01,0, ,0,2,2012-079,0,0,6F, , ,80-55, ,1,1,0,0,15,0.04681637,4.08731E-12,3.678580365,15,,2010-11-26,2010,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,IMPROPER BEDDING, , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,470,454.1,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
982,Polyline,3064,L19609,ACTIVE,PVC,PVC,0.1,0.04,15,66.5,66.5,65.6,65.6,0,0,Very Low,Very Low,DR 18,2002_04_16,N14168,N14166,100,19.6,19.6,14.7,29400,7.758333333,15,2002,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,RICHMOND ST,MEDWAY CRES,MEDWAY CRES,PRIVATE, ,SATI,UNKN,130,2002-04-16,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, ,0,0,0,<Null>,25628527, ,3000-01-01,100 PVC, ,L19609,1,0, ,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,2002-025,0,0, , , ,77-63, ,0,0,0,0,15,0.054860098,8.90261E-12,8.012347486,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,600,559.5,REPLACE,REPLACE,3,3, , , , , , , , ,0,YES,1,71,39CD-02515,BD,REGISTERED,MCC 517,2002
983,Polyline,3065,L5419,ACTIVE,DI,DI,0.5,0.26,48,56,56,44.48,44.48,0,5,Very Low,Medium,CL 52,1969_01_01,N9531,N9650,250,395.59,395.59,296.6925,593385,6.533333333,15,1969,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3, ,SISE RD,GREEN VALLEY RD,WILTON GROVE RD,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,8675049, ,3000-01-01,250 DI, ,L5419,0,0,Clay,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,2,0,0,0, , , ,83-52,Unknown,1,1,0,0,15,0.038972696,1.3071E-12,1.176394086,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,436,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
984,Polyline,3066,L3932,ACTIVE,CI,CI,0.3,0.25,117,-1.9,0,-7.75,0,15,15,Very High,Very High,PIT RUN,1900_01_01,N10998,N11044,150,6.7,6.7,5.025,10050,-0.221666667,5,1900,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3,178,DUNDAS ST,RICHMOND ST,RICHMOND ST,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,5877089, ,3000-01-01,100 CI, ,L3932,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,79-59, ,0,0,0,0,15,0.04681637,3.41996E-13,0.307796282,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,490,501.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
985,Polyline,3067,L11305,ACTIVE,CI,CI,0.3,0.25,45,48.5,48.5,46.25,46.25,5,5,Medium,Medium,0,1972_01_01,N5457,N5463,150,14.16,14.16,10.62,21240,5.658333333,15,1972,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3,458,CENTRAL AVE,MAITLAND ST,MAITLAND ST,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,18060299, ,3000-01-01,150 CI, ,L11305,0,0, ,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , , ,80-60, ,0,0,0,0,15,0.04681637,7.22785E-13,0.65050677,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,490,501.1,RELINE - REHAB,REPLACE,2,3, , , , , , , , ,0,NO,0,0, , , , , 
986,Polyline,3068,L1344,ACTIVE,DI,DI,0.5,0.26,48,56,56,44.48,44.48,0,5,Very Low,Medium,CL 51,1969_01_01,N12598,N12600,400,125.23621,125.23621,93.9271575,187854.315,6.533333333,15,1969,1,0.007984911,5,7.35,,0,0,0,6,,160,296.815,Moderately Low,Moderately High,2,4, ,WONDERLAND RD S,COMMISSIONERS RD W,COMMISSIONERS RD W,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,2055294, ,3000-01-01,400 DI, ,L1344,0,2,Clay,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,4,0,0,1, , ,WESTMOUNT/PONDMILLS,76-55,Unknown,1,1,0,0,15,0.03337527,3.37955E-14,0.030415984,0,,1999-07-25,1999,2005-05-16,,2005,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,CORROSION,CONTRACTOR, , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,430,475.315,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,87,39CD-01508,HMN,LAPSED, , 
987,Polyline,3069,L1266,ACTIVE,DI,DI,0.5,0.26,48,56,56,44.48,44.48,0,5,Very Low,Medium,CL 52,1969_01_01,N12656,N12657,300,2.58,2.58,1.935,3870,6.533333333,15,1969,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3, ,WONDERLAND RD S,VISCOUNT RD,VISCOUNT RD,CITY, ,UNKN,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,2012451, ,3000-01-01,300 DI, ,L1266,0,0,Clay,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,4,0,0,0, , ,WESTMOUNT/PONDMILLS,76-55,Unknown,1,1,0,0,15,0.03664517,3.22133E-15,0.002899194,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,390,463.3,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,43,39CD-01502,HMN,REGISTERED,MCC 487,2001
988,Polyline,3070,L8834,ACTIVE,CI,CI,0.3,0.25,67,33.1,33.1,29.75,29.75,5,10,Medium,Moderately High,SPUN CAST,1950_01_01,N6962,N6922,200,195.850839,195.850839,146.8881293,293776.2585,3.861666667,10,1950,0,0,0,6,,1,0.005105927,5,7.35,,160,296.815,Moderately Low,Moderately High,2,4, ,CLARKE RD,HERBERT AVE,CULVER DR,CITY, ,UNKN,UNKN,50,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,14134143, ,3000-01-01,200 CI, ,L8834,0,1,Sand,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,4,0,0,1, , , ,85-62, ,1,1,1,1,15,0.042136065,2.13518E-12,1.921660025,0,1,2014-01-07,2014,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,,DETERIORATION, , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,400,448.015,RELINE - REHAB,RELINE - REHAB,2,2,Municipal Substation, , ,n/a,Infrastructure,Energy,Substation,ems.infrastructure.energy.subStation,90,NO,0,0, , , , , 
989,Polyline,3071,L15397,ACTIVE,PVC,PVC,0.1,0.04,23,59.3,59.3,57.92,57.92,0,0,Very Low,Very Low,DR 18,1994_09_15,N3642,N3432,300,177.63,177.63,133.2225,266445,6.918333333,15,1994,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,MARCONI BLVD,YARMOUTH DR,RAILTON AVE,CITY, ,SATI,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,24515965, ,3000-01-01,300 PVC, ,L15397,1,0,Sand,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,2,94-105,0,1, , , ,87-59, ,1,1,0,0,15,0.03664517,2.21785E-13,0.199606147,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,390,418.8,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
990,Polyline,3072,L960,ACTIVE,CI,CI,0.3,0.25,47,47.1,47.1,44.75,44.75,5,5,Medium,Medium,0,1970_01_01,N12935,N12939,150,86.81,86.81,65.1075,130215,5.495,15,1970,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3,951,WONDERLAND RD S,MCMASTER DR,MCMASTER DR,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,1583174, ,3000-01-01,150 CI, ,L960,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,0,0,0, , ,WESTMOUNT/PONDMILLS,76-54, ,0,0,0,0,15,0.04681637,4.43114E-12,3.988029146,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,15,9,180,111.3,Moderately High,Medium,4,3,640,606.1,REPLACE,UP SIZE,3,4, , , , , , , , ,0,YES,1,82,39CD-01503,HMN,REGISTERED,MCC 491,2001
991,Polyline,3073,L5313,ACTIVE,CI,CI,0.3,0.25,41,51.3,51.3,49.25,49.25,0,5,Very Low,Medium,0,1976_01_01,N9727,N9841,100,100.22,100.22,75.165,150330,5.985,15,1976,0,0,0,6,,0,0,0,6,,120,284.8,Moderately Low,Medium,2,3,690,LITTLE GREY ST,RATHGAR ST,RATHGAR ST,PRIVATE, ,UNKN,UNKN,0,1992-01-09,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,8256265, ,3000-01-01,100 CI, ,L5313,0,0, ,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,0,76-147,0,0, , , ,81-58, ,0,0,0,0,15,0.054860098,4.55214E-11,40.96925842,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,600,604,REPLACE,UP SIZE,3,4, , , , , , , , ,0,YES,1,503, , ,REGISTERED,MCC 034,1977
992,Polyline,3074,L13324,ACTIVE,CI,CI,0.3,0.25,51,44.3,44.3,41.75,41.75,5,5,Medium,Medium,SPUN CAST,1966_01_01,N4021,N7460,300,8.22,8.22,6.165,12330,5.168333333,15,1966,0,0,0,6,,0,0,0,6,,160,284.8,Moderately Low,Medium,2,3, ,FALLONS LANE,CHRISTIAN'S DR,CHRISTIAN'S DR,CITY, ,UNKN,UNKN,68,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,21351651, ,3000-01-01,300 CI, ,L13324,0,0,Sand,0,0,0,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,1,0,(WD-169),0, , , ,83-63, ,1,1,0,0,15,0.03664517,1.02633E-14,0.009236967,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,430,463.3,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
993,Polyline,3075,L13969,ACTIVE,PVC,PVC,0.1,0.04,24,58.4,58.4,56.96,56.96,0,0,Very Low,Very Low,DR 18,1993_01_13,N263,N262,200,6.38,6.38,4.785,9570,6.813333333,15,1993,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3,619,WILLIAM ST,CENTRAL AVE,CENTRAL AVE,PRIVATE, ,SATI,UNKN,150,3000-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,0,0,<Null>,23822201, ,3000-01-01,200 PVC, ,L13969,1,0, ,0,0,1,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,0,93-031,0,0, , , ,80-60, ,0,0,0,0,15,0.042136065,6.95551E-14,0.062599635,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,15,9,180,109.2,Moderately High,Moderately Low,4,2,450,454.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,282, , ,REGISTERED,MCC 296,1994
994,Polyline,3077,L549,ACTIVE,PVC,PVC,0.1,0.04,28,54.8,54.8,53.12,53.12,0,0,Very Low,Very Low,DR 18,1989_01_01,N1331,N3021,100,37.58,37.58,28.185,56370,6.393333333,15,1989,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,GREEN HEDGE CRT,GREEN HEDGE LANE,GREEN HEDGE LANE,CITY, ,UNKN,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,873041, ,3000-01-01,100 PVC, ,L549,1,0,Sand,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,1,1,0,0,0, , , ,73-56, ,1,1,0,0,15,0.054860098,1.70694E-11,15.36244992,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,510,496.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,212,39CD-95501,BD,REGISTERED,MCC 318,1995
995,Polyline,3078,L12666,ACTIVE,PVC,PVC,0.1,0.04,28,54.8,54.8,53.12,53.12,0,0,Very Low,Very Low,DR 18,1989_01_01,N6697,N4337,300,70.11,70.11,52.5825,105165,6.393333333,15,1989,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,BONAVENTURE DR,ADMIRAL DR,MOREAU CRES,CITY, ,UNKN,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,20193042, ,3000-01-01,300 PVC, ,L12666,1,0,Silt,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,2,0,0,1, , , ,87-61, ,1,1,0,0,15,0.03664517,8.75377E-14,0.078783916,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,5,10.5,15,0,0,0,120,73.5,Medium,Moderately Low,3,2,390,418.8,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,YES,1,369, , ,REGISTERED,MCC 178,1990
996,Polyline,3079,L6827,ACTIVE,DI,DI,0.5,0.26,29,65.5,65.5,58.54,58.54,0,0,Very Low,Very Low,CL 52,1988_01_01,N8472,N8468,200,5.13,5.13,3.8475,7695,7.641666667,15,1988,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,EGERTON ST,MARGARET ST,MARGARET ST,CITY, ,NREP,UNKN,120,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,10742236, ,3000-01-01,200 DI, ,L6827,0,0,Sand,0,0,1,0,0,0,0,0,0,0,0,<Null>, ,N/A,3000-01-01,0, ,0,3,0,0,0, , , ,82-59, ,1,1,0,0,15,0.042136065,5.59276E-14,0.050334816,0,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,150,105,Moderately Low,Moderately Low,2,2,0,6.6,15,0,0,0,90,46.2,Moderately Low,Very Low,2,1,360,391.5,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
997,Polyline,3080,L15257,ACTIVE,PVC,PVC,0.1,0.04,27,55.7,55.7,54.08,54.08,0,0,Very Low,Very Low,DR 18,1990_01_15,N11690,N11688,150,413.79,413.79,310.3425,620685,6.498333333,15,1990,0,0,0,6,,0,0,0,6,,120,240.3,Moderately Low,Medium,2,3, ,KRISTINA CRES,JOSSELYN DR,JOSSELYN DR,CITY, ,UNKN,UNKN,130,2004-01-01,3000-01-01,0,<Null>, ,N/A,0,3000-01-01, , ,1,1,<Null>,4369854, ,3000-01-01,150 PVC, ,L15257,1,0,Clay,0,0,0,0,0,0,0,0,0,1,0,<Null>, ,N/A,3000-01-01,0, ,0,1,90-022,0,1, , , ,79-54, ,1,1,0,0,15,0.04681637,2.11216E-11,19.00940652,15,, , ,,,,,,,,,, , ,, , ,, , ,, , ,, , ,, , ,, ,, ,, ,, ,, , , , ,, ,, , ,, , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , ,300,210,Moderately High,Medium,4,3,0,6.9,15,0,0,0,90,48.3,Moderately Low,Very Low,2,1,510,498.6,RELINE - REHAB,RELINE - REHAB,2,2, , , , , , , , ,0,NO,0,0, , , , , 
